BeverageId,Served,TASTE,BEER_NAME,BREWERY_NAME,STYLE,ABV,LOCATION_CITY,STATE_COUNTRY,PRICE_GLASS,PRICE_GROWLER,PRICE_CAN,PRICE_BOTTLE
72,Can,Canned,Dale’s Pale Ale, Oskar Blues,Pale Ale,6.50%,Brevard, NC,,,6,
73,Can,Canned,Face Plant, Lost Rhino,American IPA,6.20%,Ashburn, VA,,,7,
74,Can,Canned,Imperial, Cerveceria Costa Rica,Adjunct Lager,4.50%,Heredia, Costa Rica,,,4,
75,Can,Canned,Kona Island Seltzers, Kona Brewing,Hard Seltzer,5.00%,Kailua, Hawaii,,,6,
76,Can,Canned,Lucky SOB, Flying Dog,Irish Ale,5.50%,Frederick, MD,,,7,
77,Can,Canned,National Bohemian, Pabst Brewing,Adjunct Lager,4.30%,Los Angeles, CA,,,4,
78,Can,Canned,Over the Moon, Guinness,Milk Stout,5.00%,Dublin, Ireland,,,6,
79,Can,Canned,Pabst Blue Ribbon, Pabst Brewing,Pilsner,4.60%,Los Angeles, CA,,,4,
80,Can,Canned,Proper Lager, O’Connor,Pilsner,4.70%,Norfolk, VA,,,4,
81,Can,Canned,Red Stripe, Desnoes & Geddes Ltd.,Jamaican Lager,5.30%,Kingston, Jamaica,,,4,
82,Can,Canned,Rhino Chasers, Lost Rhino,Pilsner,5.60%,Ashburn, VA,,,7,
83,Can,Canned,Saint Archer Gold, MillerCoors,Low Calorie Lager,4.20%,Milwaukee, WI,,,6,
84,Can,Canned,Saturday Morning, Smartmouth,American IPA,6.60%,Norfolk, VA,,,10,
85,Can,Canned,Strawberry Ginger, Potter’s Craft Cider,Cider,5.50%,Charlottesville, VA,,,7,
86,Can,Canned,Tangerine Wheat, Lost Coast,Tangerine Wheat Ale,4.70%,Eureka, CA,,,6,
87,Can,Canned,Too Juicy, Two Roads,New England IPA,8.20%,Stratford, CT,,,7,
88,Can,Canned,Truly, Boston Beer Co,Hard Seltzer,5.00%,Boston, MA ,,,6,
89,Can,Canned,White Claw, Mark Anthony Brands,Hard Seltzer,5.00%,Chicago,IL,,,6,
90,Bottle,Bottled,Aventinus, Schneider & Sohn,Weizenbock,8.20%,Kelheim, Germany,,,12,
91,Bottle,Bottled,Budweiser, Anheuser-Busch,American Lager,5.00%,St. Louis, MO,,,5,
92,Bottle,Bottled,Space Dust, Elysian Brewing,American IPA,8.20%,Seattle, WA,,,7,
93,Bottle,Bottled,Michelob Ultra, Anheuser-Busch,Low-Calorie Lager,4.20%,St. Louis, MO,,,6,
94,Bottle,Bottled,Non-Alcoholic, St. Pauli Girl,Low-Alcohol Beer,0.50%,Quebec, Canada,,,6,
95,Bottle,Bottled,Nitro Milk Stout, Left Hand,Milk Stout,6.00%,Longmont, CO,,,6,
96,Bottle,Bottled,Shiner Bock, Spoetzl Brewery,Traditional Bock,4.40%,Shiner, TX,,,6,
97,Bottle,Bottled,Spaten Oktoberfest, Spaten,Marzen Oktoberfest,5.90%,Munchen, Germany,,,7,
